,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.4645,0.146625,0.60775,0.20825,0.1925,0.37975,0.293875,0.54625,0.01825,0.128,0.007375,0.003375,0.0,0.0035
2,0.1315,0.127875,0.496875,0.502,0.7,0.399875,0.598125,0.03625,0.0005,0.00425,0.001,0.0,0.000125,0.001625
3,0.636125,0.622625,0.69125,0.089625,0.06425,0.230625,0.437875,0.22175,0.00075,0.002875,0.001125,0.000125,0.0,0.001
4,0.34575,0.07175,0.675875,0.192125,0.641625,0.651,0.3815,0.040375,0.0,0.0,0.0,0.0,0.0,0.0
5,0.063375,0.420625,0.335,0.633,0.318625,0.75775,0.445375,0.022875,0.001,0.002,0.000375,0.0,0.0,0.0
6,0.44125,0.2205,0.389625,0.62275,0.354625,0.1955,0.234625,0.039125,0.018875,0.230125,0.246,0.004,0.00025,0.00275
7,0.06325,0.6535,0.28675,0.607,0.411875,0.59325,0.076625,0.30625,0.0005,0.0005,0.00025,0.0,0.0,0.00025
8,0.65225,0.518,0.284375,0.60575,0.083875,0.149125,0.117875,0.279375,0.044125,0.085875,0.161875,0.008875,0.000125,0.0085
9,0.31375,0.7675,0.411875,0.199875,0.282875,0.446375,0.186625,0.389,0.00075,0.0005,0.0,0.0,0.0,0.000875
10,0.767375,0.128375,0.797,0.193875,0.117,0.15475,0.180875,0.420125,0.08,0.143125,0.01375,0.00375,0.0,0.0
