,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.52875,0.344875,0.026375,0.003,0.006125,0.008875,0.018125,0.027375,0.027125,0.007875,0.000625,0.0005,0.0,0.000375
2,0.01425,0.0225,0.4625,0.077375,0.004375,0.313,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.01075,0.020125,0.032,0.791875,0.08425,0.02725,0.022625,0.008625,0.001375,0.00075,0.000375,0.0,0.0,0.0
4,0.01325,0.024125,0.039,0.006375,0.0235,0.362625,0.513375,0.015875,0.00075,0.00075,0.000375,0.0,0.0,0.0
5,0.744375,0.015,0.009625,0.027625,0.011375,0.02525,0.053375,0.075625,0.033875,0.003375,0.0,0.00025,0.0,0.00025
6,0.000375,0.00025,0.0045,0.963,0.0305,0.000375,0.0,0.000375,0.0,0.00025,0.000375,0.0,0.0,0.0
7,0.159875,0.0145,0.39325,0.238,0.005375,0.004625,0.178625,0.00575,0.0,0.0,0.0,0.0,0.0,0.0
8,0.037,0.05675,0.047375,0.07625,0.1585,0.04125,0.277375,0.053875,0.101125,0.04775,0.069875,0.019375,0.0,0.0135
9,0.01375,0.05725,0.148125,0.007125,0.013125,0.68425,0.043625,0.02775,0.0005,0.0035,0.000625,0.0,0.0,0.000375
10,0.031,0.027375,0.05175,0.011375,0.0135,0.63575,0.049375,0.060125,0.009625,0.098,0.009875,0.00225,0.0,0.0
