HorseName,RaceNumber,Age2025,PostPosition,OddsNumeric,JockeyName,TrainerName,FoalingDate,OfficialFinish
Thanks Mr. Eidson,8,8.257357973990418,8,10.0,"Ricardo Santana, Jr.",Doug O'Neill,2017-01-27+00:00,6
Coppola,8,6.184804928131417,9,10.0,John Velazquez,Dale Romans,2019-02-23+00:00,1
Diamond City,8,6.1711156741957565,11,30.0,Ferrin Peterson,Rey Hernandez,2019-02-28+00:00,3
Willtorun,8,6.203969883641341,13,10.0,Luan Machado,Ben Colebrook,2019-02-16+00:00,4
Charcoal,8,9.155373032169747,15,15.0,Joseph Talamo,Tracey Wisner,2016-03-05+00:00,5
Atlantic Dancer,9,6.16290212183436,1,15.0,Florent Geroux,Nicholas Zito,2019-03-03+00:00,5
Route Runner,9,5.215605749486653,2,6.0,Luis Saez,Steven Asmussen,2020-02-12+00:00,6
Game Keeper,9,5.0130047912388775,3,15.0,Ramon Vazquez,D. Lukas,2020-04-26+00:00,4
Prove Worthy,9,5.0513347022587265,4,4.0,"Irad Ortiz, Jr.",Todd Pletcher,2020-04-12+00:00,1
Mount Craig,9,6.050650239561944,5,8.0,Tyler Gaffalione,Ron Moquett,2019-04-13+00:00,2
Tshiebwe,9,5.106091718001369,6,3.5,Flavien Prat,Todd Pletcher,2020-03-23+00:00,3
Braggadocious,9,6.0013689253935665,7,4.5,"Brian Hernandez, Jr.","George Arnold, II",2019-05-01+00:00,9
Hero's Medal,9,5.1416837782340865,8,20.0,Corey Lanerie,"Albert Stall, Jr.",2020-03-10+00:00,8
Game Warden,9,5.240246406570842,9,3.0,John Velazquez,William Mott,2020-02-03+00:00,7
